Timestamp,Username,VideoID,Comment,Date
2025-11-03T06:31:04Z,@BambangHandojo,SHaoAG61XK8,Jokowi/ LBP/ Rini Sumarno/ Sri Mulyani / terMul tangkap dan sita aset nya buat bayar utang KCIC. Berani ga Prabowo ?! 🤔🫣😱😜🤪👍,2025-11-03T06:34:09Z
2025-11-03T06:00:52Z,@sentotAB,SHaoAG61XK8,Jangan terkecoh.. tetep fokus ke coretx dan Partimina,2025-11-03T06:00:52Z
2025-11-03T05:36:24Z,@cucakrowo358,SHaoAG61XK8,"keluarga pakwi yg melunasi , jng kami rakyat kecil",2025-11-03T05:36:46Z
2025-11-03T05:31:00Z,@iloveindonesia6947,SHaoAG61XK8,Sengaja banget di push di akhir biar di cap pahlawan tapi gamau tau gimana caranya beresin kerusakan sama kekacauan nya.😢,2025-11-03T05:31:00Z
2025-11-03T05:26:07Z,@ZuryatiHb,SHaoAG61XK8,Jokowi  punya bunker uang   mungkin ribuan trilyun   klo dia mau bayar   hutang nya    bs dia bayar  ... Kpk hrs periksa rumah jokowi  sita uang nya  untk bnyr hutang nya....,2025-11-03T05:26:07Z
2025-11-03T05:17:44Z,@dheimomimom9343,SHaoAG61XK8,"Apa bila ijasah joko benar"" Palsu ? 
Artinya hutang negara menjadi hutang pribadi dan harus di hukum👍",2025-11-03T05:17:44Z
2025-11-03T05:12:23Z,@sabamtobing3118,SHaoAG61XK8,Siap dibereskan paling cepat dlm 60 thn oleh danantara,2025-11-03T05:12:23Z
2025-11-03T04:53:20Z,@rosidaalbertasinabutar5099,SHaoAG61XK8,masa DPR gk tau???🐻🐻🐻🐻,2025-11-03T04:53:20Z
2025-11-03T04:27:43Z,@bocahkemlinthi,SHaoAG61XK8,"caranya gimana?sudah bener itu purbaya ga mau nalangin.nanti semua modus korupsi gitu, proyek gede boncos minta talangin apbn.lagian sudah ada danantara sebagai hjolding BUMN.masak untungnya BUMN mau ngakuin, tapi ruginya ga mau beresin tapi minta talangan apbn.bener kata purbaya, lhah danantara kerjanya ngapain???",2025-11-03T04:27:43Z
2025-11-03T04:25:55Z,@MurdjonoSaja,SHaoAG61XK8,"Ssssttt .... jangan berizik,
Prabowo juga perintahkan untuk menjajaki kemungkinan
kereta cepat Whoosh dilanjut hingga Surabaya.",2025-11-03T04:25:55Z
2025-11-03T04:11:42Z,@wibie_23,SHaoAG61XK8,bunga hutangnya suruh Jokowi yg bayar.,2025-11-03T04:11:42Z
2025-11-03T04:07:22Z,@enoksitimaemunah-p5e,SHaoAG61XK8,pengalihan isuuue ini rakyat jngn terkecoh Babay pejabat yg korupsi malah bahas inih udah jelas tu yg korupsi yg merasa berkuasa yg sok jagoan sok ngatur harusnya di gulung setahun ke rakyat,2025-11-03T04:07:22Z
2025-11-03T03:58:10Z,@putragilargilar,SHaoAG61XK8,"Dulu wktu menku masih bu Sri mulyani ya uang APBN masih di gelontorkan buat bayar hutang woosh,makanya giliran ganti mentri langsung kelimpungan ga bisa bayar",2025-11-03T03:58:10Z
2025-11-03T03:35:30Z,@SYAKIRA-sx2cg,SHaoAG61XK8,"Arab Saudi 1500 km 130 T juga 10x lipat panjang nya, tp biaya nya sama yg membuat kebijakan yg merugikan negara sdh bs di pidana kan, bs di proses",2025-11-03T03:35:30Z
2025-11-03T03:30:09Z,@HorasmantuaPurba,SHaoAG61XK8,Kalau bisa kontrak besar dilakukan dengan kedua negara Republik Indonesia dengan pemerintah Tiongkok dan Republik Indonesia dengan Pemerintah Jepang walaupun insfrastruktur yang diinginkan sama pasti ada keunggulan yang jauh dari kesepakatan kontrak pembangunan infrastruktur. Dua-duanya wajib dipakai.,2025-11-03T03:30:09Z
2025-11-03T03:17:21Z,@HorasmantuaPurba,SHaoAG61XK8,"Berikan saja pemerintah Tiongkok kontrak lebih besar lagi pembangunan infrastruktur jalan terowongan bawah laut dari Sumatera Utara ke Kalimantan Barat dan sebaliknya dari Kalimantan Barat ke Sumatra Utara, kepercayaan dan kontra besar bisa menutup reses hutang whooos railtrainway.",2025-11-03T03:17:21Z
2025-11-03T03:10:24Z,@keyshashalwa8614,SHaoAG61XK8,"Termul suruh bayar utang kereta cepat, enak aja situ yg nikmati kita suruh bayar.",2025-11-03T03:10:24Z
2025-11-03T03:01:58Z,@fahmiaris3829,SHaoAG61XK8,"Betul itu di bngun buat fasilitas umum buat majuin negara BKN di nikmati pribadi negara kita SGT"" kaya apapun bisa di bangun buat nyjhterain rakyat di nikmati umum 
Yg hrs di Brantas adlh manusia"" yg korupsi habiskan miskinkan",2025-11-03T03:01:58Z
2025-11-03T03:00:19Z,@Yusuf-k8b8d,SHaoAG61XK8,"Yg berpikiran perpanjangan kereta cepat sampai ke surabaya padahal masalah kcic sendiri hanya jadi beban, itu pikiran yg biar belangsat asal keran adalah perbuatan nekad.",2025-11-03T03:00:19Z
2025-11-03T02:52:34Z,@Subin-i2h,SHaoAG61XK8,Rakyat komen yg cerdas.,2025-11-03T02:52:34Z
2025-11-03T02:52:06Z,@Subin-i2h,SHaoAG61XK8,Rakyat komen yg cerdas.,2025-11-03T02:52:06Z
2025-11-03T02:46:01Z,@Ruangtemu57,SHaoAG61XK8,Kalo kalkulasi bank nya udh bener tapi duitnya dikorup ya bank investornya g salah,2025-11-03T02:46:01Z
2025-11-03T01:55:31Z,@FatirHudin,SHaoAG61XK8,DAMPAK AMBISI JOKOWI BANGUN IKN. JADI SEMUA HAL DI KORUPSI,2025-11-03T01:55:31Z
2025-11-03T01:41:10Z,@bagong7703,SHaoAG61XK8,jokowi paraaaahhh,2025-11-03T01:41:10Z
2025-11-03T01:34:32Z,@mhdriduanginting6942,SHaoAG61XK8,jangan mau pak purbaya kalo di buat patungan suruh bayar. tanggung jawab lah itu yg punya ide,2025-11-03T01:34:32Z
2025-11-03T01:25:56Z,@gimdiari9513,SHaoAG61XK8,🔩,2025-11-03T01:25:56Z
2025-11-03T01:18:23Z,@HardianHardian-m3h,SHaoAG61XK8,Bayar dan usut,2025-11-03T01:18:23Z
2025-11-03T01:07:05Z,@sebastianofficialacoustic352,SHaoAG61XK8,Adili Jokowi dan ternaknya d mulai dari makzulkan fufu Fafa 💪,2025-11-03T01:07:05Z
2025-11-03T01:02:21Z,@LuthfiSitisunilah,SHaoAG61XK8,"Adili Jokowi, terus rampas harta kekayaan hasil korupsi nya, terus bayarin hutang uang negara,
Kaya nya cara ini lebih efektif",2025-11-03T01:02:21Z
2025-11-03T00:49:10Z,@1ndonesi4well,SHaoAG61XK8,"Awas aja uda gaduh sedunia gini, trus gak ada orang yg dihukum. Rakyat terus dibuat mlongo liat kinerja pemerintah yg kurang amanah",2025-11-03T00:49:10Z
2025-11-03T00:46:18Z,@irmae.r.2619,SHaoAG61XK8,Betul instruksi presiden Prabowo segera dan cepat slesaikan hutang kreta cepat jngn cuci tangan. Beban sudah berat utang yg lain. Blum lunas... Kok.. Ada bisnis kreta cepat utang lgiii. Ap biar hancur negara ini.......gk ush nunggu 60 th lgiii...!!  Ank ccu kita Msok di warisi utang trusssss.....,2025-11-03T00:46:18Z
2025-11-03T00:38:21Z,@bernardinomariano2588,SHaoAG61XK8,"Impian/rencana kebanggaan punya KA Cepat syah2 sj pak..tp,sbg orang awam, akurasi data ttg pasar, pengguna KA woosh 44 ribu/hari utk klas menengah keatas,efeck multiplayernya apa,...?Feasiblity study,siapa tahu, diminta diatur hasilnya 'hrs feasible'😂.akibat hasil study feasible' yg gak feasible sekarang jadi kebingunggan utk membayar utang.Adakah urgensi sgr punya kereta cepat shg perlu utang utk ujudkannya? Selesaikan dulu bisnis B to B baru mimpi lg lanjutan Jakarta - Surabaya karena Rakyat butuh bantuan dr Pemerintah...Dugaan adanya korupsi mark up dll wajib diusut",2025-11-03T00:48:14Z
